Name,Amount,Company,Department,Country
Margaret Lynch,16.73,Rodriguez LLC,Sports,China
Sara Hill,190.07,Von LLC,Automotive,China
Jonathan Ford,269.53,Rippin-Hamill,Grocery,Senegal
Sean Carter,266.52,"Parker, Labadie and Becker",Clothing,Indonesia
Melissa Ruiz,313.95,"Marquardt, Kirlin and Blick",Home,Thailand
Benjamin Stewart,66.27,"Hilpert, Douglas and Wilkinson",Sports,Yemen
Christopher Romero,167.32,"Durgan, Lebsack and Schiller",Clothing,Thailand
Timothy Fowler,126.48,Kirlin Group,Automotive,Armenia
Nicholas Ray,300.14,"Steuber, Schaefer and Corkery",Grocery,Pakistan
Dorothy Green,132.09,Eichmann and Sons,Sports,China
Maria Daniels,5.87,Moen-Prosacco,Tools,Tanzania
Craig Brooks,83.97,Block-Cummings,Shoes,Japan
Arthur Reynolds,163.61,"Mayert, Kihn and Rice",Music,Brazil
Ruby Matthews,337.69,Oberbrunner-Barton,Sports,France
Dorothy Harrison,186.41,"Cruickshank, Johnson and Berge",Shoes,Argentina
Fred Weaver,59.38,"Gleason, Klocko and Rogahn",Toys,Indonesia
Dorothy Burton,29.11,Wilderman Group,Games,Brazil
Alan Hansen,317.13,"Shanahan, Heidenreich and Rath",Shoes,Indonesia
Louis Hernandez,88.22,DuBuque-McClure,Computers,Poland
Ernest Bailey,104.15,Crona Group,Baby,Finland
David Thompson,307.57,Ebert Inc,Music,Russia
Deborah Stephens,214.75,"Pagac, Sawayn and Bode",Health,Norway
Samuel Ellis,40.91,"Parisian, Feest and Bergnaum",Toys,China
Michelle Morgan,246.89,Kuhic Inc,Health,Poland
Elizabeth Lee,100.87,Schumm-Gislason,Toys,Greece
Kathryn Young,197.38,"Windler, Kerluke and Veum",Music,Portugal
Donna Woods,336.48,Pollich-McKenzie,Home,Nigeria
Stephen Dunn,38.13,Ledner LLC,Electronics,Portugal
Wayne Riley,84.33,Roob-Ferry,Outdoors,Canada
Ernest Schmidt,237.64,Kuphal and Sons,Jewelery,Peru
Amy Stewart,247.94,"Marquardt, Mosciski and Douglas",Health,Poland
Lawrence Alvarez,276.77,Jakubowski LLC,Beauty,Sweden
Denise Carr,109.73,Kulas-West,Automotive,China
Gary Coleman,236.71,"Waters, Johnston and Morar",Home,China
Phillip Medina,377.12,Moen-Metz,Toys,Indonesia
Nicholas Holmes,120.87,Denesik and Sons,Home,Indonesia
Eric Lane,58.63,Bradtke-Hansen,Industrial,Czech Republic
Janice Nelson,317.62,Weber-Abshire,Automotive,Turkmenistan
Carolyn Cox,77.54,Cormier-Funk,Toys,Thailand
Walter Ford,262.2,"Schaefer, Klein and McDermott",Electronics,Indonesia
Anne Richards,228.22,Sipes Group,Automotive,China
Billy Hunter,115.21,Bauch-Jast,Outdoors,Poland
Kimberly Burke,27.93,"Bauch, Kemmer and Schuppe",Games,China
Janice Lane,394.61,Hane-Farrell,Garden,Brazil
Samuel Mills,139.07,Mueller-Greenholt,Games,Greece
Betty George,272.34,Crist and Sons,Home,Philippines
Mary Wallace,334.89,Tromp-Mills,Jewelery,United States
Anthony Chavez,13.99,"Boyer, Williamson and Vandervort",Automotive,Japan
Michael Garcia,28.42,Hintz Inc,Shoes,China
Frances Boyd,375.71,Fahey Inc,Computers,Brazil
Samuel Dean,61.11,"Bins, Torp and Murphy",Computers,Indonesia
Stephen Perry,254.54,Flatley and Sons,Health,Austria
Debra Wagner,287.54,Grant Inc,Health,France
Sean Tucker,91.42,Hickle Inc,Movies,Egypt
Frank Fisher,164.31,Friesen LLC,Music,Thailand
Karen Green,127.71,Schiller-Davis,Electronics,China
Edward Spencer,158.69,Quitzon-Mann,Kids,United States
Joshua Sanders,295.13,Ebert-Weimann,Beauty,China
Gerald Diaz,311.43,Hills Group,Clothing,Philippines
Kimberly Kelly,290.22,Jacobson-Fritsch,Grocery,Afghanistan
Joan Coleman,100.59,Langosh LLC,Automotive,Russia
Amy Wheeler,66.54,"Barton, Skiles and Homenick",Grocery,Philippines
Paula Graham,212.79,Cormier-Walsh,Home,Peru
Samuel Mendoza,180.12,O'Conner LLC,Grocery,Brazil
David Moore,230.55,Pfannerstill Group,Baby,China
Raymond Garcia,268.46,Stanton-Heidenreich,Health,Denmark
Thomas Gray,210,Schimmel-Pollich,Grocery,Colombia
Thomas Russell,1.17,"Champlin, Wolff and Kuphal",Games,Nigeria
Tammy Burton,313.24,"Yost, Hessel and Hodkiewicz",Toys,Afghanistan
Anthony Jenkins,343.8,"Hoeger, Casper and Spinka",Shoes,Syria
Christina Jackson,272.05,Okuneva-Reilly,Clothing,China
Clarence Burns,210.46,Dickens-Jacobs,Books,Czech Republic
Carol Bowman,385.01,Rogahn-Berge,Home,France
Timothy Sims,394.39,Casper Inc,Computers,Indonesia
Todd Carter,247.33,"McLaughlin, Carter and Mohr",Computers,Portugal
Keith Diaz,314.52,"Hammes, Gaylord and Ebert",Jewelery,United States
Louise Franklin,99.1,"Witting, Hegmann and Ratke",Outdoors,Peru
Anna Berry,4.85,Abshire-Quitzon,Toys,Russia
Shirley Murray,397.77,Pagac-Skiles,Outdoors,Brazil
Joshua Peters,59.23,Lakin-Lang,Grocery,Indonesia
Terry Mason,309.07,Stanton Inc,Shoes,Indonesia
James Armstrong,128,Schimmel Group,Home,Poland
Susan Mcdonald,124.56,Walsh Group,Industrial,Brazil
Ruth Bailey,195.79,Bednar LLC,Toys,Russia
Judith Vasquez,50.32,"Aufderhar, Nikolaus and Langworth",Clothing,Madagascar
Russell Foster,286.75,Beer and Sons,Baby,China
Maria Mason,130.37,"Veum, Larson and O'Connell",Movies,Indonesia
Deborah Fields,1.99,"Howe, Medhurst and Bradtke",Beauty,Albania
Earl Martin,110.79,Hauck-Emmerich,Industrial,Indonesia
Anthony Rivera,185.06,"Gottlieb, Torp and Christiansen",Sports,Sierra Leone
Melissa Hansen,198.89,Skiles LLC,Movies,Brazil
John Daniels,48.8,"Bernier, Hammes and Tromp",Tools,United States
Lisa Long,38,Schaden and Sons,Music,Colombia
Brian Harper,13.5,"Kozey, Kulas and Osinski",Movies,Russia
Joan Brooks,179.04,Gottlieb-Kassulke,Grocery,Russia
Christine Crawford,114.59,Kautzer LLC,Computers,China
Fred Perez,310.96,Mueller Group,Music,Philippines
Cheryl Austin,43.14,"Gleason, O'Hara and Carroll",Movies,Tajikistan
Louis Ross,91.35,Kuhlman and Sons,Games,Canada
Marie Cook,221.9,Morissette and Sons,Outdoors,Paraguay
Susan Graham,353.05,Tremblay Group,Tools,China
Joshua Arnold,395.84,"Rice, Rutherford and Baumbach",Grocery,Philippines
Justin Burns,119.92,Parker-Dickinson,Kids,Indonesia
Gregory Murphy,289.67,Toy Group,Kids,Peru
Kelly Reed,348.69,"Conn, Hills and Dare",Automotive,Philippines
Aaron Snyder,91.78,"Medhurst, Grady and Berge",Books,Portugal
Robert Grant,235.64,"Funk, Schneider and Mertz",Toys,China
Diane Campbell,146.12,Treutel Inc,Home,Iran
Kimberly Murray,53.06,MacGyver-Considine,Movies,China
Diana Rose,155.83,"Cronin, Mohr and Erdman",Automotive,Indonesia
Kathy Gonzalez,103.72,Kub-Gutmann,Garden,Botswana
Marilyn Fox,288.15,Lehner-Hermann,Automotive,Brazil
Howard Larson,103.48,"Turner, Okuneva and Pfeffer",Computers,China
Nancy Ellis,289.28,Harber-Dicki,Industrial,Mexico
Beverly Lawson,371.07,Klein Inc,Games,Russia
Jason Perez,106.01,Bednar-Gutmann,Toys,France
Daniel Cooper,141.02,Gerhold-Wolf,Automotive,Philippines
Joan Adams,336.82,"Towne, Spinka and Marquardt",Games,Portugal
Roger Myers,99.62,Hessel Inc,Music,Nigeria
Dorothy Welch,248.66,"Cole, Bode and Cartwright",Health,United States
Eric Day,154.99,Waters and Sons,Tools,Ethiopia
Julia Johnston,71.87,Hudson-Botsford,Beauty,Indonesia
Donald Graham,259.5,Stracke Inc,Books,Philippines
Craig Andrews,206.31,"Kuphal, Runolfsdottir and Runolfsdottir",Shoes,Russia
Lois Alexander,155.59,McKenzie and Sons,Beauty,China
George Palmer,247.43,"Bartell, MacGyver and Gaylord",Books,Azerbaijan
Ruby Green,386.29,Anderson Group,Music,China
Kelly Phillips,155.89,Cormier Group,Books,Thailand
Jerry Woods,233.43,"Okuneva, Crooks and Cummerata",Home,Finland
Betty Webb,161.82,"Daugherty, Sipes and Greenfelder",Sports,Ukraine
Helen Peters,109.19,"Wolf, Denesik and Bauch",Computers,China
Tammy Campbell,146.25,Boyle LLC,Grocery,Austria
Russell Gilbert,293.43,Lesch Group,Health,Czech Republic
Maria George,398.01,Sipes Group,Automotive,Philippines
Karen Ortiz,145.84,"Grimes, Koss and Wuckert",Kids,Czech Republic
Andrew Sanders,377.61,"Volkman, Cremin and Reilly",Garden,Indonesia
Larry Myers,37.32,Orn-Hoeger,Baby,China
Charles Martin,123.01,"Rippin, Weimann and Nitzsche",Electronics,Colombia
